i_lambda,lambda,alpha,beta,sd_beta
1,1400,-0.5975089748799985,0.0867300195371614,0.020826864975555127
2,1401,-0.6591787737999986,0.08547833277412341,0.020230750206107
3,1402,-0.7209803556799986,0.08433148038012886,0.019393445983634915
4,1403,-0.7795531318799988,0.08398968484024326,0.01889572950813005
5,1404,-0.8362930139999987,0.08538306741238462,0.018551399367080064
6,1405,-0.8900886134799987,0.08538070191725924,0.01807718509543323
7,1406,-0.9414598690399987,0.08491206560254795,0.017800204879164998
8,1407,-0.9909600795999988,0.08519331348936403,0.017253595636735338
9,1408,-1.0375521636399987,0.08444925661212958,0.01638696378467942
10,1409,-1.0802697264399987,0.08318928863104494,0.015856072663182473
11,1410,-1.1211973223199987,0.08191577158785229,0.01528287750558457
12,1411,-1.1586920582399987,0.08012499993145418,0.014645793863865718
13,1412,-1.1921234082799985,0.07877143670993673,0.014402993210190375
14,1413,-1.2227008031999986,0.07778751246051692,0.014050310681147711
15,1414,-1.2492913735999989,0.07670031730728033,0.013570566328723546
16,1415,-1.2726424633999989,0.07564493960118988,0.012954964661312273
17,1416,-1.2935648641999986,0.0738706971224318,0.012114104970271357
18,1417,-1.311793587039999,0.07191424286541283,0.011468604708598423
19,1418,-1.328167469159999,0.07097371033447729,0.01080414768984453
20,1419,-1.3431490480799988,0.06931075949364418,0.010275557688396567
21,1420,-1.3568534145199989,0.06681208689083891,0.009920816513670959
22,1421,-1.3696535061599988,0.06466792788162051,0.009426915768328003
23,1422,-1.3817430174799992,0.061587297113539226,0.008967346544197495
24,1423,-1.3930403283599995,0.05787891470389689,0.008493901915277463
25,1424,-1.4035480463199994,0.05500088851318774,0.007997116149777503
26,1425,-1.4134006415599991,0.05295442958444431,0.007318504804734697
27,1426,-1.4219291978799993,0.05017534469883034,0.006862582415982365
28,1427,-1.4293904009999994,0.04736286262661888,0.006657023269602712
29,1428,-1.4361755562399994,0.04490848607383808,0.006182274239001495
30,1429,-1.4417157749999994,0.041828167014655096,0.005688023904855862
31,1430,-1.4469991705599994,0.03927247727165666,0.005142289038851351
32,1431,-1.4520826036399994,0.03752176192054535,0.004297557844864407
33,1432,-1.4560659507999996,0.03520538772867612,0.00382526686926454
34,1433,-1.4592752030399994,0.03256676731685394,0.0035524474528360376
35,1434,-1.4615985222399994,0.031108936486009323,0.0031925295871594256
