i_lambda,lambda,logA,run
1,1400,-0.483816761525493,1
2,1401,-0.546863015368919,1
3,1402,-0.609984406742481,1
4,1403,-0.669958526881273,1
5,1404,-0.728187353444891,1
6,1405,-0.783649167262618,1
7,1406,-0.836622472431639,1
8,1407,-0.888156225560613,1
9,1408,-0.936773749450619,1
10,1409,-0.981449536925703,1
11,1410,-1.02375315253925,1
12,1411,-1.06251560588874,1
13,1412,-1.09768946281349,1
14,1413,-1.12995139776553,1
15,1414,-1.15872477017765,1
16,1415,-1.18518724234404,1
17,1416,-1.2091593338623,1
18,1417,-1.23019634783161,1
19,1418,-1.2493200675333,1
20,1419,-1.26680346484765,1
21,1420,-1.28285157822857,1
22,1421,-1.29819102769375,1
23,1422,-1.3128002798474,1
24,1423,-1.32636091496127,1
25,1424,-1.33931820341851,1
26,1425,-1.35154337363311,1
27,1426,-1.36249288466735,1
28,1427,-1.37246693688926,1
29,1428,-1.38199999665665,1
30,1429,-1.39052553379527,1
31,1430,-1.39854086805288,1
32,1431,-1.40643868600824,1
33,1432,-1.41310123537779,1
34,1433,-1.41882694067156,1
35,1434,-1.42325611478129,1
36,1435,-1.42732372366084,1
37,1436,-1.43102534975211,1
38,1437,-1.43372231811716,1
39,1438,-1.43581035214591,1
40,1439,-1.43719419656452,1
41,1440,-1.43772570139013,1
42,1441,-1.43816085301626,1
43,1442,-1.43818653050451,1
44,1443,-1.43790092723396,1
45,1444,-1.43745572612923,1
46,1445,-1.43561684627227,1
47,1446,-1.43350602513294,1
48,1447,-1.43172125576888,1
49,1448,-1.42902281748846,1
50,1449,-1.42666668010256,1
51,1450,-1.42456285047628,1
52,1451,-1.42183341954964,1
53,1452,-1.41908671944077,1
54,1453,-1.41586150963548,1
55,1454,-1.41250023295283,1
56,1455,-1.40852846516484,1
57,1456,-1.40395513510456,1
58,1457,-1.39900700943701,1
59,1458,-1.39368592838374,1
60,1459,-1.38808809002954,1
61,1460,-1.38231770095102,1
62,1461,-1.37570890252323,1
63,1462,-1.36878218755389,1
64,1463,-1.3608551045867,1
65,1464,-1.35214171993735,1
66,1465,-1.3425915511462,1
