ID,i_lambda,lambda,alpha,beta,sd_beta
0,1,1400.0,2.656675177927485,4.458312786398837,1.3462288260025166
1,2,1401.0,3.027649811076811,4.604370022630474,1.3698247339410015
2,3,1402.0,3.475520404660658,4.830526372903573,1.3903248578080059
3,4,1403.0,3.868605877884412,4.9716462777721295,1.4030987766396277
4,5,1404.0,4.228855593011598,5.063526231980232,1.403316258119612
5,6,1405.0,4.6293232217274545,5.206878771236439,1.4094533064017871
6,7,1406.0,4.974863176048395,5.289938583679347,1.4158417631278541
7,8,1407.0,5.433774246387928,5.489078052869059,1.4144411550589686
8,9,1408.0,6.010254443997713,5.7979309056436685,1.4165757075740992
9,10,1409.0,6.480197626860494,6.0041652181700575,1.4289547509188554
10,11,1410.0,6.976035181210137,6.227156452342962,1.4617681664215547
11,12,1411.0,7.498711671856277,6.4762917378927956,1.5056831752464943
12,13,1412.0,7.8429470751393655,6.5836630461584695,1.5381067669463915
13,14,1413.0,8.240135992047893,6.744052523319014,1.5586245541848711
14,15,1414.0,8.707320506120697,6.974768187570703,1.5693906540621725
15,16,1415.0,9.27591305985014,7.29406633272273,1.5669880465745718
16,17,1416.0,10.029385008109836,7.758640214358859,1.5898851645692957
17,18,1417.0,10.70180601520442,8.162890413652915,1.639515547365934
18,19,1418.0,11.400016737947531,8.587638121110672,1.6465607272467095
19,20,1419.0,12.058273573278079,8.981702562168433,1.680940075625965
20,21,1420.0,12.653805729332166,9.32963834458524,1.756307884765003
21,22,1421.0,13.366835670119894,9.763303431192384,1.7893309451334092
22,23,1422.0,14.165380662333625,10.255618470668823,1.8710396632628206
23,24,1423.0,15.130521386696158,10.86518020192597,2.0091925524553154
24,25,1424.0,16.147224839694992,11.508143264498809,2.113470741923607
25,26,1425.0,17.467657212017908,12.36218895002814,2.163154658993203
26,27,1426.0,18.681292650076024,13.141464226444011,2.2849934349714127
27,28,1427.0,19.532811067772624,13.668140235416045,2.451224341840395
28,29,1428.0,21.00945193617924,14.63161086050341,2.5754980460814374
29,30,1429.0,22.907141139217075,15.891747884712712,2.7837562002772462
30,31,1430.0,25.15228000917307,17.3856775521978,2.9261060104613694
31,32,1431.0,28.573937493008906,19.682539636831596,2.8546905969917225
32,33,1432.0,31.402891596898527,21.57216377672884,2.9432467565212064
33,34,1433.0,34.01144695697426,23.312842786474537,3.159129925653387
34,35,1434.0,36.55352360966713,25.014819685774324,3.145472088568763
35,36,1435.0,39.993762360539755,27.340750408911727,3.4724141486677884
36,37,1436.0,44.66923053920812,30.524287835949856,4.094182215125337
37,38,1437.0,51.91575182200922,35.4787046889944,4.362633189847106
38,39,1438.0,61.398106349420175,41.98563300943164,4.577822434842906
39,40,1439.0,68.38200768712872,46.81186343757382,4.834453992035063
40,41,1440.0,76.38999738405084,52.374463530971276,5.16119360437655
41,42,1441.0,90.94307128804208,62.47950157286035,6.283001398068044
42,43,1442.0,97.97351067429896,67.46840635313623,9.737863836857816
43,44,1443.0,109.05165395190623,75.3033281949422,15.732527637157363
44,45,1444.0,88.65350166289316,61.387963937341866,24.49705097568692
45,46,1445.0,25.70125242454891,17.8458796902003,25.818199754918037
46,47,1446.0,-25.648543732181267,-17.86180996081986,22.155594309569
47,48,1447.0,-47.9304410453127,-33.47880799550715,19.419727199724502
48,49,1448.0,-46.248424081192454,-32.4099489731603,15.910161887534718
49,50,1449.0,-54.504981622299475,-38.330053075844276,13.781805992951771
50,51,1450.0,-58.453975517552784,-41.256575697564166,12.124441287791157
51,52,1451.0,-49.1419193030325,-34.81104278094452,10.062235854534144
52,53,1452.0,-45.28022084086236,-32.18751158049462,8.53190647042418
53,54,1453.0,-43.35256576616028,-30.93022495537418,7.7598996332357055
54,55,1454.0,-39.749957095160305,-28.461355632757318,7.67958418613678
55,56,1455.0,-37.55512927260304,-26.99417341430548,7.008536245423771
56,57,1456.0,-36.21853503098925,-26.13631687708614,6.356354382924767
57,58,1457.0,-34.97527300007983,-25.35162636257312,5.740740375819649
58,59,1458.0,-34.57381813548796,-25.17862634377294,4.905526817708117
59,60,1459.0,-32.60068483278217,-23.865042648780808,4.446841030357641
60,61,1460.0,-30.20207227650131,-22.231110776626736,4.130988565536577
61,62,1461.0,-28.868692580071002,-21.379902362246618,3.8404431180264704
62,63,1462.0,-27.125419938614993,-20.223722236912998,3.690984385596041
63,64,1463.0,-25.689211389963106,-19.288393154264575,3.4790490942986896
64,65,1464.0,-25.026087910015054,-18.93036927113533,3.260189870904023
65,66,1465.0,-24.22082965564295,-18.473638419353026,3.0450189141777115
66,67,1466.0,-22.663780265707572,-17.438868902762188,2.838002332835452
67,68,1467.0,-21.915350108917853,-17.01749752046158,2.5841283094951417
68,69,1468.0,-21.242870238559277,-16.66427450097439,2.334081340834974
69,70,1469.0,-20.21670183842571,-16.035194671255304,2.250376838121081
70,71,1470.0,-19.662285357492305,-15.780468378379446,2.119266498732159
71,72,1471.0,-18.948972831194496,-15.401595414253562,2.0165004928930244
72,73,1472.0,-17.871080728046877,-14.719879813483645,2.0154445399291525
73,74,1473.0,-17.136561989463093,-14.313092185987504,1.901700870381282
74,75,1474.0,-16.35800211777762,-13.861256609651486,1.840050757834743
75,76,1475.0,-15.434053892003993,-13.276482961414183,1.8056963344836936
76,77,1476.0,-14.790124704649205,-12.92194381586875,1.7070632253590095
77,78,1477.0,-14.275545450288526,-12.671836833921466,1.6713013397241123
78,79,1478.0,-13.609003650059195,-12.281256150461498,1.6181960450465678
